bioguide,name,opensecrets,rss_url,state,twitter,twitter_id
F000462,Lois Frankel,N00002893,http://frankel.house.gov/rss.xml,FL,RepLoisFrankel,1077121945
C001093,Doug Collins,N00033518,http://dougcollins.house.gov/latest-rss/latest-rss/,GA,RepDougCollins,1060487274
G000571,Tulsi Gabbard,N00033281,http://gabbard.house.gov/rss.xml,HI,TulsiPress,1064206014
D000622,Tammy Duckworth,N00027860,,IL,SenDuckworth,1058520120
D000619,Rodney Davis,N00034784,http://rodneydavis.house.gov/rss.xml,IL,RodneyDavis,993153006
B001286,Cheri Bustos,N00033390,http://bustos.house.gov/rss.xml,IL,RepCheri,1092979962
W000813,Jackie Walorski,N00031226,http://walorski.house.gov/rss.xml,IN,RepWalorski,1065995022
B001284,Susan W. Brooks,N00033495,http://susanwbrooks.house.gov/rss.xml,IN,SusanWBrooks,1074101017
M001189,Luke Messer,N00012546,http://messer.house.gov/rss.xml,IN,RepLukeMesser,1045853744
B001282,Andy Barr,N00031233,http://barr.house.gov/rss.xml,KY,RepAndyBarr,1089334250
W000817,Elizabeth Warren,N00033492,http://www.warren.senate.gov/rss/?p=hot_topic,MA,SenWarren,970207298
K000379,Joseph P. Kennedy III,N00034044,http://kennedy.house.gov/rss.xml,MA,RepJoeKennedy,1055907624
D000620,John K. Delaney,N00033897,http://delaney.house.gov/rss.xml,MD,RepJohnDelaney,937723303
K000383,"Angus S. King, Jr.",N00034580,http://www.king.senate.gov/rss/feeds/?type=all,ME,SenAngusKing,1068481578
K000380,Daniel T. Kildee,N00033395,http://dankildee.house.gov/rss.xml,MI,RepDanKildee,1045110018
N000127,Richard M. Nolan,N00021207,http://nolan.house.gov/rss.xml,MN,USRepRickNolan,1055685948
W000812,Ann Wagner,N00033106,http://wagner.house.gov/rss.xml,MO,RepAnnWagner,1051446626
D000618,Steve Daines,N00033054,,MT,SteveDaines,11651202
H001067,Richard Hudson,N00033630,http://hudson.house.gov/rss.xml,NC,RepRichHudson,935033864
P000606,Robert Pittenger,N00034416,http://pittenger.house.gov/rss.xml,NC,RepPittenger,950328072
M001187,Mark Meadows,N00033631,http://meadows.house.gov/rss/press-releases.xml,NC,RepMarkMeadows,963480595
H001065,George Holding,N00033399,http://holding.house.gov/rss.xml,NC,RepHolding,1058460818
H001069,Heidi Heitkamp,N00033782,http://www.heitkamp.senate.gov/public/index.cfm/rss/feed,ND,SenatorHeitkamp,1061029050
C001096,Kevin Cramer,N00004614,http://cramer.house.gov/rss.xml,ND,RepKevinCramer,1048784496
F000463,Deb Fischer,N00033443,http://www.fischer.senate.gov/public/index.cfm/rss/feed,NE,SenatorFischer,1071402577
K000382,Ann M. Kuster,N00030875,http://kuster.house.gov/rss.xml,NH,RepAnnieKuster,1058717720
L000580,Michelle Lujan Grisham,N00029400,http://lujangrisham.house.gov/rss.xml,NM,RepLujanGrisham,1061385474
M001188,Grace Meng,N00034547,http://meng.house.gov/rss.xml,NY,RepGraceMeng,1051127714
J000294,Hakeem S. Jeffries,N00033640,http://jeffries.house.gov/rss.xml,NY,RepJeffries,467823431
M001185,Sean Patrick Maloney,N00034277,http://seanmaloney.house.gov/rss.xml,NY,RepSeanMaloney,1072467470
C001092,Chris Collins,N00001285,http://chriscollins.house.gov/rss.xml,NY,RepChrisCollins,1058256326
W000815,Brad R. Wenstrup,N00033310,,OH,RepBradWenstrup,518644221
B001281,Joyce Beatty,N00033904,http://beatty.house.gov/rss.xml,OH,RepBeatty,1531521632
J000295,David P. Joyce,N00035007,http://joyce.house.gov/rss/press-releases.xml,OH,RepDaveJoyce,976969338
B001283,Jim Bridenstine,N00033532,http://bridenstine.house.gov/rss.xml,OK,RepJBridenstine,1092757885
M001190,Markwayne Mullin,N00033410,http://mullin.house.gov/news/rss.aspx,OK,RepMullin,1060370282
P000605,Scott Perry,N00034120,http://perry.house.gov/rss.xml,PA,RepScottPerry,18773159
R000598,Keith J. Rothfus,N00031253,http://rothfus.house.gov/rss.xml,PA,KeithRothfus,1155212191
C001090,Matt Cartwright,N00034128,http://cartwright.house.gov/rss.xml,PA,RepCartwright,776664410
R000597,Tom Rice,N00033832,http://rice.house.gov/rss.xml,SC,RepTomRice,1058345042
C001098,Ted Cruz,N00033085,,TX,SenTedCruz,1074480192
W000814,"Randy K. Weber, Sr.",N00033539,http://weber.house.gov/rss.xml,TX,TXRandy14,1058051748
O000170,Beto O'Rourke,N00033540,http://orourke.house.gov/rss.xml,TX,RepBetoORourke,1134292500
C001091,Joaquin Castro,N00033316,http://castro.house.gov/rss.xml,TX,JoaquinCastrotx,231510077
W000816,Roger Williams,N00030602,http://williams.house.gov/rss.xml,TX,RepRWilliams,1077446982
